benchmark | originalAstranTotalArea | originalGSCLTotalArea | reduceAreaComparedToAstranTotal | reduceAreaComparedToTotal | AstranReduceAreaPercentage | GSCLReduceAreaPercentage |
tc_001_arthmetic_adder |2861.567999999939 |3208.185460000042 |38.912000000000035 |48.00843999999999 |1.3598139202004238 |1.4964359323540906 |
tc_002_arthmetic_bar |5410.815999999966 |5853.660580000157 |149.504 |175.68325999999988 |2.7630582891748845 |3.0012546439786085 |
tc_003_arthmetic_divisor |101710.33599997836 |112769.55053995695 |501.7600000000002 |870.8181999999996 |0.4933225272209375 |0.7722104023917767 |
tc_004_arthmetic_hypotenuse |515782.655999744 |583136.516060028 |3187.1999999999994 |4993.736499999996 |0.6179346984481737 |0.8563580503824839 |
tc_005_arthmetic_log2 |71508.9919999968 |77947.25305998657 |332.80000000000007 |261.6847999999997 |0.46539601621012217 |0.33572036181777004 |
tc_006_arthmetic_max |4970.495999999911 |5748.406260000165 |8.348877145181177e-14 |118.75771999999998 |1.679686925647124e-15 |2.0659242688946025 |
tc_007_arthmetic_multiplier |53381.120000002215 |59582.63382000118 |256.5119999999993 |888.5635799999991 |0.48052944561670624 |1.49131302702117 |
tc_008_arthmetic_sin |14909.440000000035 |16157.076119999258 |28.671999999999926 |99.32047999999989 |0.19230769230769137 |0.6147181535962489 |
tc_009_arthmetic_sqrt |75016.7039999912 |83179.00177998404 |142.33599999999964 |493.0552399999995 |0.18973907464664982 |0.5927640744044694 |
tc_010_arthmetic_square |32233.47200000151 |36756.267600003324 |225.7920000000002 |278.77373999999986 |0.7004892305737018 |0.7584386506098204 |
tc_l4_0409 |10348.544000000113 |10875.309539999746 |233.47200000000007 |278.85159999999973 |2.2560854937660557 |2.564079661129409 |
tc_l4_0412 |10600.960000000105 |11127.475519999709 |735.744 |867.7215399999991 |6.940352571842482 |7.79800897733201 |
tc_l4_0413 |10337.7920000001 |10845.439779999746 |1100.288000000001 |1291.7753399999992 |10.643355950670998 |11.910769560328788 |
tc_l4_0427 |12398.592000000135 |13206.861659999422 |267.26400000000007 |319.2116999999997 |2.155599603567866 |2.417014035717655 |
tc_l4_0428 |11922.432000000177 |12499.63375999947 |1532.9280000000012 |1783.0715399999992 |12.8575109507857 |14.2649902728036 |
tc_l4_0429 |11074.56000000016 |11628.939939999636 |882.1760000000002 |1026.3457199999991 |7.96578825705028 |8.825789154432861 |
tc_l4_0430 |12767.744000000244 |13358.862799999337 |233.47200000000007 |278.85159999999973 |1.8286080923927954 |2.0873902530087634 |
tc_l4_0431 |12461.568000000192 |13033.001579999385 |1547.2640000000013 |1784.1259999999993 |12.416286618184625 |13.689294741880047 |
tc_l4_0432 |12022.784000000216 |12600.067599999471 |1342.4640000000009 |1566.001259999999 |11.165999488970082 |12.428514748603927 |
tc_l8_0415 |12084.224000000208 |13034.949139999711 |430.08000000000004 |510.2821799999996 |3.559020421998075 |3.9147232146393396 |
